ROUTE_NO;STOP_NAME;TIMING;LATITUDE;LONGITUDE
23;VANDALUR;07:40:00;12.879026;80.080709
23;"VIT ";07:50:00;12.840658;80.153187
23A;PADI;06:45:00;13.103095;80.194659
23A;"ANNA NAGAR WEST DEPOT";06:50:00;13.093661;80.198517
23A;VANDALUR;07:40:00;12.879026;80.080709
23A;"VIT ";07:50:00;12.840658;80.153187
24;"AMMA NANA";06:40:00;13.028769;80.249675
24;"MOOPPANAR BRIDGE";06:42:00;13.027495;80.244993
24;"KOTTURPURAM ";06:50:00;13.023194;80.242871
24;"MADHYA KAILASH";06:55:00;13.006461;80.246517
24;"SRP TOOLS";07:00:00;12.978401;80.252585
24;"KELAMBAKKAM JUNCTION";07:35:00;12.789848;80.221621
24;VIT;07:50:00;12.840658;80.153187
24A;SHOLINGANALLUR;07:20:00;12.898788;80.22788
24A;"PADUR HINDUSTAN COLLEGE";07:30:00;12.80111;80.223568
24A;"KELAMBAKKAM JUNCTION";07:35:00;12.789643;80.221458
24A;VIT;07:50:00;12.840658;80.153187
25;"RAM NAGAR";07:00:00;12.97154;80.212241
25;"POONNIAMMAN KOIL ";07:10:00;12.885711;80.226979
25;"UTI BANK";07:15:00;12.96595;80.188642
25;"MADIPAKKAM KOOT ROAD";07:25:00;12.96595;80.188642
25;VIT;07:50:00;12.840658;80.153187
25A;KEELKATTALAI;07:05:00;12.956166;80.186841
25A;KOVILAMBAKKAM;07:10:00;12.939489;80.18264
25A;VELLAKAL;07:15:00;12.931274;80.181645
25A;"MEDAVAKKAM  JUNCTION";07:20:00;12.916927;80.193476
25A;VIT;07:50:00;12.840658;80.153187
25B;"MEDAVAKKAM   ";07:20:00;12.919734;80.182162
25B;SITHALAPAKKAM;07:25:00;12.886296;80.188368
25B;PONMAR;07:30:00;12.85689;80.171861
25B;SBIOA;07:40:00;12.838287;80.169538
25B;MAMBAKKAM;07:42:00;12.827736;80.164825
25B;VIT;07:45:00;12.840658;80.153187
26;SANTHOSAPURAM;07:10:00;12.919973;80.170905
26;SEMBAKKAM;07:13:00;12.923301;80.159828
26;KAMARAJAPURAM;07:15:00;12.923309;80.154537
26;"MADAMBAKKAM JUNCTION";07:35:00;12.827676;80.165138
26;VIT;07:55:00;12.840658;80.153187
26A;RAJAKILPAKKAM;07:20:00;12.921674;80.152059
26A;"SUDHARSHAN NAGAR";07:25:00;12.90857;80.157295
26A;KOZHIPANNAI;07:30:00;12.903179;80.158512
26A;"MADAMBAKKAM JUNCTION";07:35:00;12.684334;79.397417
26A;VIT;07:55:00;12.840658;80.153187
27;"ASHOK PILLAR";06:55:00;13.033605;80.212067
27;"KASI THEATRE";07:00:00;13.02962;80.208979
27;"EKKATU THANGAL";07:02:00;13.019632;80.20638
27;"ALANDUR METRO";07:05:00;13.004298;80.201176
27;MAMBAKKAM;07:40:00;12.827743;80.165172
27;VIT;07:45:00;12.840658;80.153187
27A;"NGO COLONY";07:00:00;12.989471;80.205008
27A;"BALAJI DENTAL COLLEGE";07:15:00;12.944351;80.208295
27A;PALLIKARANAI;07:25:00;12.932827;80.204035
27A;"JEYACHANDRAN TEXTILES";07:28:00;12.921461;80.197171
27A;MAMBAKKAM;07:40:00;12.827676;80.165138
27A;VIT;07:45:00;12.840658;80.153187
28;NATHAMUNI;06:20:00;13.103493;80.202196
28;ICF;06:25:00;13.099705;80.214474
28;"GANDHI HOSPITAL";06:27:00;13.094804;80.218498
28;"K4 POLICE STATION";06:30:00;13.09276;80.218402
28;"18TH MAIN ROAD";06:35:00;13.094741;80.203356
28;"AAVIN BOTH";06:40:00;13.077139;80.225122
28;THIRUMANGALAM;06:40:00;13.0871;80.198152
28;"GOLDEN FLATS";06:40:00;13.088122;80.179176
28;"NOLAMBUR BYE PASS";06:45:00;13.077478;80.161308
28;VANDALUR;07:30:00;12.879026;80.080709
28;VIT;07:50:00;12.840658;80.153187
28A;MUGAPPAIR;06:40:00;13.088629;80.170109
28A;"GOLDEN FLATS";06:45:00;13.088301;80.178453
28A;"NOLAMBUR BYE PASS";06:50:00;13.080414;80.161153
28A;"PORUR TOLL GATE";07:00:00;13.043454;80.149378
28A;VANDALUR;07:30:00;12.879026;80.080709
28A;VIT;07:50:00;12.840658;80.153187
29;KALPAKKAM;06:00:00;12.534792;80.163227
29;VENGAMBAKKAM;06:10:00;12.548687;80.143472
29;"MAHABALIPURAM KOOT ROAD(POONCHERY)";06:45:00;12.614772;80.171842
29;PAIYANUR;06:50:00;12.608284;80.154059
29;ALATHUR;06:55:00;12.699531;80.182886
29;THANDALAM;07:00:00;12.715898;80.187842
29;"THIRUPORUR BUS STAND";07:05:00;12.721973;80.187219
29;"S.S.N COLLEGE";07:15:00;12.751042;80.203948
29;KELAMBAKKAM;07:30:00;12.786399;80.220317
29;MAMBAKKAM;07:40:00;12.827583;80.164961
29;VIT;07:50:00;12.840658;80.153187
30;"THIRUVALLUR BUS STAND";06:10:00;13.040955;80.268261
30;PUTTLUR;06:30:00;13.123785;79.938358
30;SEVAPATET;06:35:00;13.120642;79.962452
30;"VEPPAMPATTU RLY.";06:45:00;13.124881;79.997105
30;THIRUNINDRAVUR;06:50:00;13.12471;80.032546
30;"JAYA SCHOOL BUS STOP";07:00:00;13.125089;80.043632
30;"RING ROAD JUNCTION";07:15:00;13.047459;80.080811
30;VANDALUR;07:35:00;12.879026;80.080709
30;VIT;07:50:00;12.840658;80.153187
31;KANCHIPURAM;06:10:00;12.836161;79.704929
31;WALAJABAD;06:30:00;12.792595;79.81755
31;ORAGADAM;06:45:00;12.851343;79.942526
31;PADAPAI;07:00:00;12.886443;80.021603
31;KARASANGAL;07:10:00;12.894345;80.046883
31;"MANNIVAKKAM JUNCTION";07:15:00;12.894597;80.063577
31;VANDALUR;07:30:00;12.879026;80.080709
31;VIT;07:45:00;12.840658;80.153187
32;THIRUVANMIYUR;06:40:00;12.987362;80.25862
32;KOTTIVAKKAM;06:50:00;12.969406;80.257735
32;PALAVAKKAM;06:55:00;12.960986;80.256185
32;NEELANKARAI;07:00:00;12.949628;80.254855
32;AKKARI;07:05:00;12.904014;80.249023
32;MGM;07:10:00;12.910562;80.249989
32;MUTTUKADU;07:15:00;12.832041;80.240529
32;KOVALAM;07:20:00;12.776967;80.248984
32;KELAMBAKKAM;07:30:00;12.789835;80.221605
32;VIT;07:45:00;12.840658;80.153187
33;MADHYAKAILASH;06:50:00;13.006781;80.2468
33;"SRP TOOLS";06:55:00;12.980315;80.25161
